,time,price,hash,provider,value,delta
0,0.0,50,af9495c6d5dff14eb92e518c922b6e7a,/tmp/provider_50656_1545752989.9036028_log.csv,50,0
0,0.0,50,c3997c04d81bc339a6a6404e1b258ab8,/tmp/provider_50647_1545752989.786484_log.csv,50,0
0,6.0,49,c3997c04d81bc339a6a6404e1b258ab8,/tmp/provider_50582_1545752988.280998_log.csv,50,1
0,6.0,50,af9495c6d5dff14eb92e518c922b6e7a,/tmp/provider_50675_1545752990.450146_log.csv,50,0
0,10.0,48,eda6d62b5d40330af277b8cfb29f51f3,/tmp/provider_50620_1545752989.352591_log.csv,49,1
1,16.0,49,eda6d62b5d40330af277b8cfb29f51f3,/tmp/provider_50647_1545752989.786484_log.csv,49,0
1,22.0,47,ecffefe49f812e938f68eac945d8dc91,/tmp/provider_50656_1545752989.9036028_log.csv,48,1
1,27.0,46,ecffefe49f812e938f68eac945d8dc91,/tmp/provider_50582_1545752988.280998_log.csv,48,2
1,27.0,46,a39e7368b66dd98625a487b2aa8155ab,/tmp/provider_50675_1545752990.450146_log.csv,46,0
1,32.0,46,fbad4b121280f0db64c9e688b5089764,/tmp/provider_50620_1545752989.352591_log.csv,46,0
2,38.0,46,a39e7368b66dd98625a487b2aa8155ab,/tmp/provider_50647_1545752989.786484_log.csv,46,0
2,42.0,46,fbad4b121280f0db64c9e688b5089764,/tmp/provider_50582_1545752988.280998_log.csv,46,0
2,43.0,46,a39e7368b66dd98625a487b2aa8155ab,/tmp/provider_50656_1545752989.9036028_log.csv,46,0
2,48.0,45,48b1af504f0f62036cd3efeb21d88fc6,/tmp/provider_50675_1545752990.450146_log.csv,45,0
2,53.0,45,48b1af504f0f62036cd3efeb21d88fc6,/tmp/provider_50620_1545752989.352591_log.csv,45,0
3,58.0,44,67ffbf5bf7b26ca29c776baaa8fe7bf8,/tmp/provider_50647_1545752989.786484_log.csv,44,0
3,59.0,44,745cd73de3f7a895a47c39ffae4b19d0,/tmp/provider_50656_1545752989.9036028_log.csv,44,0
3,63.0,44,67ffbf5bf7b26ca29c776baaa8fe7bf8,/tmp/provider_50582_1545752988.280998_log.csv,44,0
3,69.0,43,745cd73de3f7a895a47c39ffae4b19d0,/tmp/provider_50675_1545752990.450146_log.csv,44,1
3,73.0,43,b2e1fdb67027c8cf9a46f0690a8c852e,/tmp/provider_50620_1545752989.352591_log.csv,43,0
4,75.0,43,1b9b192ee76cb5ca778c6b6a3364ef24,/tmp/provider_50656_1545752989.9036028_log.csv,43,0
4,80.0,43,7bba6597794789b9d2093a4b2d93c47f,/tmp/provider_50647_1545752989.786484_log.csv,43,0
4,84.0,43,1b9b192ee76cb5ca778c6b6a3364ef24,/tmp/provider_50582_1545752988.280998_log.csv,43,0
4,89.0,43,7bba6597794789b9d2093a4b2d93c47f,/tmp/provider_50675_1545752990.450146_log.csv,43,0
4,91.0,43,b2e1fdb67027c8cf9a46f0690a8c852e,/tmp/provider_50620_1545752989.352591_log.csv,43,0
5,95.0,42,6cd3b7ae3e334eaecf7f355e320775a6,/tmp/provider_50656_1545752989.9036028_log.csv,42,0
5,100.0,42,f9f00bc8e0271911e5d59e2270948f92,/tmp/provider_50647_1545752989.786484_log.csv,42,0
5,105.0,42,6cd3b7ae3e334eaecf7f355e320775a6,/tmp/provider_50582_1545752988.280998_log.csv,42,0
5,108.0,42,f9f00bc8e0271911e5d59e2270948f92,/tmp/provider_50675_1545752990.450146_log.csv,42,0
5,111.0,41,6f6be12de9e8676978547ee43673b84e,/tmp/provider_50620_1545752989.352591_log.csv,41,0
6,115.0,41,ebb2f1be05aa4802b3327346d8ebe2a2,/tmp/provider_50656_1545752989.9036028_log.csv,41,0
6,121.0,41,ebb2f1be05aa4802b3327346d8ebe2a2,/tmp/provider_50647_1545752989.786484_log.csv,41,0
6,124.0,41,e73f44a8e83f67a9380aa52597478fdd,/tmp/provider_50582_1545752988.280998_log.csv,41,0
6,129.0,41,31af864d7cf639a356c178a9f5ae8316,/tmp/provider_50675_1545752990.450146_log.csv,41,0
6,134.0,41,6f6be12de9e8676978547ee43673b84e,/tmp/provider_50620_1545752989.352591_log.csv,41,0
7,136.0,41,31af864d7cf639a356c178a9f5ae8316,/tmp/provider_50656_1545752989.9036028_log.csv,41,0
7,139.0,41,e73f44a8e83f67a9380aa52597478fdd,/tmp/provider_50647_1545752989.786484_log.csv,41,0
7,144.0,40,f11a04cfd24f7cf21a46bece16bf3f5f,/tmp/provider_50582_1545752988.280998_log.csv,41,1
7,149.0,41,f11a04cfd24f7cf21a46bece16bf3f5f,/tmp/provider_50675_1545752990.450146_log.csv,41,0
7,153.0,40,c5c4175afa11c84c8239ace4df5b70c0,/tmp/provider_50620_1545752989.352591_log.csv,40,0
8,158.0,40,123114b338edd110ed58081261c7b8dc,/tmp/provider_50656_1545752989.9036028_log.csv,40,0
8,160.0,40,c5c4175afa11c84c8239ace4df5b70c0,/tmp/provider_50647_1545752989.786484_log.csv,40,0
8,165.0,40,48e0923eb892c10285d42662247f1212,/tmp/provider_50582_1545752988.280998_log.csv,40,0
8,170.0,40,48e0923eb892c10285d42662247f1212,/tmp/provider_50675_1545752990.450146_log.csv,40,0
8,173.0,39,123114b338edd110ed58081261c7b8dc,/tmp/provider_50620_1545752989.352591_log.csv,40,1
9,177.0,38,52a5344a915686247d17e973450a540e,/tmp/provider_50656_1545752989.9036028_log.csv,39,1
9,182.0,39,52a5344a915686247d17e973450a540e,/tmp/provider_50647_1545752989.786484_log.csv,39,0
9,185.0,38,4f218b25639d567f833837b8cd562e33,/tmp/provider_50582_1545752988.280998_log.csv,38,0
9,188.0,38,d16f2347d7d7ecccdb54f6e37513a9a0,/tmp/provider_50675_1545752990.450146_log.csv,38,0
